team,model,dp_count,u22_count
Atlanta United FC,3DP+3U22,3,1
Austin FC,3DP+3U22,3,1
Charlotte FC,2DP+4U22,2,3
Chicago Fire FC,2DP+4U22,2,3
FC Cincinnati,2DP+4U22,2,1
Colorado Rapids,3DP+3U22,3,3
Columbus Crew,3DP+3U22,2,0
FC Dallas,2DP+4U22,2,5
D.C. United,3DP+3U22,2,2
Houston Dynamo FC,2DP+4U22,2,4
Sporting Kansas City,2DP+4U22,2,2
LA Galaxy,3DP+3U22,3,3
Los Angeles FC,3DP+3U22,3,3
Inter Miami CF,3DP+3U22,3,3
Minnesota United FC,2DP+4U22,2,3
CF Montréal,2DP+4U22,1,3
Nashville SC,3DP+3U22,3,2
New England Revolution,2DP+4U22,2,2
New York City FC,2DP+4U22,2,3
New York Red Bulls,3DP+3U22,2,3
Orlando City SC,3DP+3U22,3,2
Philadelphia Union,3DP+3U22,3,2
Portland Timbers FC,2DP+4U22,2,4
Real Salt Lake,2DP+4U22,1,4
San Diego FC,2DP+4U22,2,2
San Jose Earthquakes,3DP+3U22,3,0
Seattle Sounders FC,3DP+3U22,3,0
St. Louis City SC,2DP+4U22,2,2
Toronto FC,2DP+4U22,2,1
Vancouver Whitecaps FC,2DP+4U22,2,2
