team,model,dp_count,u22_count
Atlanta United FC,3DP+3U22,3,1
Austin FC,3DP+3U22,3,1
CF Montréal,2DP+4U22,2,3
Charlotte FC,2DP+4U22,2,3
Chicago Fire FC,2DP+4U22,2,1
Colorado Rapids,3DP+3U22,3,3
Columbus Crew,3DP+3U22,2,0
D.C. United,2DP+4U22,2,5
FC Cincinnati,3DP+3U22,2,2
FC Dallas,2DP+4U22,2,4
Houston Dynamo FC,3DP+3U22,3,3
Inter Miami CF,3DP+3U22,3,3
LA Galaxy,2DP+4U22,2,3
Los Angeles FC,2DP+4U22,1,3
Minnesota United FC,3DP+3U22,3,2
Nashville SC,2DP+4U22,2,2
New England Revolution,2DP+4U22,2,3
New York City FC,3DP+3U22,2,3
New York Red Bulls,3DP+3U22,3,2
Orlando City SC,3DP+3U22,3,2
Philadelphia Union,2DP+4U22,2,4
Portland Timbers FC,2DP+4U22,1,4
Real Salt Lake,2DP+4U22,2,2
San Diego FC,3DP+3U22,3,0
San Jose Earthquakes,3DP+3U22,3,0
Seattle Sounders FC,2DP+4U22,2,2
Sporting Kansas City,2DP+4U22,2,2
St. Louis City SC,2DP+4U22,2,1
Toronto FC,2DP+4U22,2,2
Vancouver Whitecaps FC,3DP+3U22,3,3
